tax_id	species	genus	family	order	class	phylum	superkingdom	F065_concat_SUP_FilteredReads	F067_concat_SUP_FilteredReads	F069_concat_SUP_FilteredReads	F071_concat_SUP_FilteredReads	F064_concat_SUP_FilteredReads	F066_concat_SUP_FilteredReads	F068_concat_SUP_FilteredReads	F070_concat_SUP_FilteredReads	F074_concat_SUP_FilteredReads	F075_concat_SUP_FilteredReads	F076_concat_SUP_FilteredReads	F077_concat_SUP_FilteredReads	F078_concat_SUP_FilteredReads	F079_concat_SUP_FilteredReads	F080_concat_SUP_FilteredReads	F083_concat_SUP_FilteredReads	F081_concat_SUP_FilteredReads
100134	Anaerocolumna xylanovorans	Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria			43.60915239706591			29.0975172551797	21.004224437669148				31.301755288172966					20.554565178564065	
100176	Papillibacter cinnamivorans	Papillibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	763.9573405248228	20.024057148639532	284.50832235451946	368.0433987770989	835.6735219406536	114.48903972747296	449.6867371672973	160.5554348979007	87.95270607760936	42.65226313569243	156.49292210084676		27.32919808379514	19.133010732839978	11.385629377489506	174.14814442134528	33.76386462185443
1038856	Planococcus plakortidis	Planococcus	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria						52.66231429930764											
1041504	Candidatus Arthromitus sp. SFB-rat-Yit	Candidatus Arthromitus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria										25.1184224920687							
1042156	Clostridium sp. SY8519	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	1455.0642231521567	1810.8889680016664	2817.9389499878225	8336.96194036745	2556.84976626163	4378.145028706672	3319.72552163571	415.7388159432032	699.2502602357581	616.8651500417689	659.5415811210091	196.62371924576468	1344.957198208945	1848.321499405809	219.3366038858848	1904.0141790252	1942.483331294448
1054297	Clostridium punense	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		13.28502534151079															
106588	Pseudoflavonifractor capillosus	Pseudoflavonifractor	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	80.16575788181825	24.69792123033816	151.16116288644443	83.06493555680049	52.35653499179995	248.76980683912083	169.90545132043638	113.98815225355656	14.59602046952077	53.12518977899846	245.2084096788704	21.218179257645303	38.717959851235705	71.56546751624201	29.520917521754217	19.963536959889478	54.49053170429734
1076	Rhodopseudomonas palustris	Rhodopseudomonas	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria				33.29088445066508													
1085	Rhodospirillum rubrum	Rhodospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria							15.731192559585512										
109327	Anaerovorax odorimutans	Anaerovorax	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria		22.443641915031016	20.755317676446666		28.763918162322454				12.563718829371284								
109790	Lactobacillus jensenii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	92.14313743525751	373.70934655520085	115.71079111665028	63.68267187307954		59.853375766700985		170.69581270391097	106.3136210968122	103.6871015828042	288.48500957419475			14.096728400593888	97.87091646346042	201.89749159049708	40.97543602428379
1099853	Coprobacter fastidiosus	Coprobacter	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	12.292717302908168		93.32297156106704	18.16593408473682					28.25396486074354			14.41881606462109					
1114980	Spiroplasma atrichopogonis	Spiroplasma	Spiroplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria			14.0473428610654														
1115758	Romboutsia ilealis	Romboutsia	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	369.0993077810063																
1121298	Clostridium amylolyticum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		63.193275623161405															
112904	Enterococcus villorum	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria			19.12536721691601														
114527	Mogibacterium diversum	Mogibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria	23.348780099571893						42.468854760372096										
114528	Mogibacterium neglectum	Mogibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria			11.121756357009064	20.2080117795684		27.108392096536107					21.61285804296977						
1150298	Fusicatenibacter saccharivorans	Fusicatenibacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria				11.194339035806973		22.447501957314863	11.160404255733347	16.143003479634157			50.435212517677904						12.574576919405834
115544	Parasporobacterium paucivorans	Parasporobacterium	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	85.33793267349878	15.33079788816666	442.2031992462343	158.4372633519917	17.266014837239336	25.72994070435808	88.76303353251593	15.555306088794614	11.886947483336773	124.47213075184696	65.39123523984318	14.905277141015809		35.37644045354387	164.13233425719483	67.7098201029705	16.87363152569769
1159753	Enterococcus eurekensis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria		29.01991520363072															
1160721	Ruminococcus bicirculans	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	358.0344291605726		1287.7241733111591	1139.3714490060345	509.33499293407147	13.447689148606337	1733.4631787144813	21.07924378396594	850.2558072515196	170.93490617835477	486.1218751088164	122.93980129069344	28.47365606140004			596.4690456260929	69.88234403484695
116089	Lactobacillus psittaci	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria								13.02692995609308									
116090	Caloranaerobacter azorensis	Caloranaerobacter	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria					29.982298003314625												
1161942	Ruminococcus champanellensis	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	28721.353950847515	1429.2079264294591	12568.638070035146	28126.746803581365	5078.641423579317	4527.101343535464	6805.069226721715	3094.619698093205	11024.763374510803	1051.612970375305	3971.103284336815	1779.3317420087528	1528.5942906408256	27.08860288850361	15.039838025838334	243.98122214531443	292.3356231382517
1162980	Cohaesibacter haloalkalitolerans	Cohaesibacter	Cohaesibacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	34.9704152755177																
1172626	Altererythrobacter estronivorus	Altererythrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria									18.5424753673633								
1203033	Lactobacillus hominis	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria			318.443117747037					25.14140609506256	1890.7969039923328	128.49537946725997	416.16968470870927	40.9400798068147		18.198989215819594	65.48826581977382	34.09242780020536	
1229621	Anaerostipes rhamnosivorans	Anaerostipes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	6379.167113708417	43.4488697965504	5271.707443480117	3763.4299119479206	681.1593792831637	1237.882682296285	920.1290556934396	1089.5453004633357	640.4410534672796	129.04467793462368	428.8114564415982	35.60942777947889	141.71708032543822	24.85046209897994	26.650441363534764	32.4354868489189	60.22194176768889
1233114	Azospirillum fermentarium	Azospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria							29.39374104754611										
1245	Leuconostoc mesenteroides	Leuconostoc	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria							18.95540565852433										
1264	Ruminococcus albus	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	135.17980091313763		227.74955929575043	120.0239359424393	248.55478911380897		248.5227705273474	64.23481828229494	484.1727638984297	100.97324255769934	380.6817110810827	108.74744115955932	15.658252604242662			22.908609313102357	31.533159103960617
