tax_id	species	genus	family	order	class	phylum	superkingdom	F019_concat_SUP_FilteredReads	F020_concat_SUP_FilteredReads	F021_concat_SUP_FilteredReads	F023_concat_SUP_FilteredReads	F024_concat_SUP_FilteredReads	F025_concat_SUP_FilteredReads	F022_concat_SUP_FilteredReads	F026_concat_SUP_FilteredReads	F027_concat_SUP_FilteredReads	F028_concat_SUP_FilteredReads	F029_concat_SUP_FilteredReads	F030_concat_SUP_FilteredReads	F031_concat_SUP_FilteredReads	F032_concat_SUP_FilteredReads	F033_concat_SUP_FilteredReads	F034_concat_SUP_FilteredReads	F035_concat_SUP_FilteredReads	F036_concat_SUP_FilteredReads	F037_concat_SUP_FilteredReads	F038_concat_SUP_FilteredReads	F039_concat_SUP_FilteredReads	F040_concat_SUP_FilteredReads	F041_concat_SUP_FilteredReads	F042_concat_SUP_FilteredReads	F043_concat_SUP_FilteredReads	F044_concat_SUP_FilteredReads	F045_concat_SUP_FilteredReads
100134	Anaerocolumna xylanovorans	Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria					20.11035673091277	15.850304426339274													46.05265266251465					33.97068330466869			
100176	Papillibacter cinnamivorans	Papillibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	1628.0857749406728	93.222132193572	136.26453002555257	540.42990572827	526.9149467795708	753.376451950902	150.92731548320555	92.08995056667064	46.071003429354334	210.3112426451206	25.03132533143962	39.7302750388915	56.5511780770233	161.2552735715347	93.31863744694218	424.9006356685902	21.33360774064125	84.90109389362259	307.4487138795466	42.25951886660018	51.69961835995348	30.94340488133094	158.68401989286872	220.91179467185063	56.60509128399076	108.59821267015036	40.54961720080815
1038856	Planococcus plakortidis	Planococcus	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria			18.85265462040776													17.543580645376277	31.71049978397423										
1042156	Clostridium sp. SY8519	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	3128.650022157275	1276.8374121443792	626.2787993944534	279.804209306028	3471.229572240489	1949.0004675981936	243.01173236939368	1162.5870579414586	94.67666775846185	835.325291932515	226.7244065753706	905.6865973948068	486.8768145415246	658.7837377360235	248.797001379625	479.12990629407824	2398.5976073338666	512.4709631273915	2082.0800876301805	1052.4681253210756	2065.6484125964407	2556.376232275034	1623.116670686527	1079.1737154208872	811.523374403747	2577.6909542135245	284.1854007468692
1056810	Prolinoborus fasciculus	Prolinoborus	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria																	38.75539124042805					30.99491412014964					
105841	Anaerostipes caccae	Anaerostipes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria																12.756345681805534											
1061	Rhodobacter capsulatus	Rhodobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria																	91.70795987838282										
106588	Pseudoflavonifractor capillosus	Pseudoflavonifractor	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	113.35624046021232	45.4660451195024	23.752689393146017	68.55360261062722	81.7982475862502	75.59489088912873	24.07425895552916	65.69176486905906	41.66850711477007	57.28700463060929	25.75453089817406	29.15276916101535	34.038002485448715	38.98531531769521	20.333502669641547	50.903846699588335	30.33934836784541	81.46949257974559	74.85080036784356	33.1926332147567	73.67646644478504	35.19406203763833	57.22731529743124	64.64984893850982	54.59755473018389	87.78604305776214	86.93265054918423
106649	Acinetobacter guillouiae	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria																	10.143267511776568					15.03281764490397					
106654	Acinetobacter nosocomialis	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria																	39.74726646977007										
