tax_id	species	genus	family	order	class	phylum	superkingdom	F175_concat_SUP_FilteredReads	F178_concat_SUP_FilteredReads	F084_concat_SUP_FilteredReads	F085_concat_SUP_FilteredReads	F089_concat_SUP_FilteredReads	F086_concat_SUP_FilteredReads	F087_concat_SUP_FilteredReads	F088_concat_SUP_FilteredReads	F090_concat_SUP_FilteredReads	F091_concat_SUP_FilteredReads	F092_concat_SUP_FilteredReads	F097_concat_SUP_FilteredReads	F093_concat_SUP_FilteredReads	F094_concat_SUP_FilteredReads	F095_concat_SUP_FilteredReads	F096_concat_SUP_FilteredReads
100134	Anaerocolumna xylanovorans	Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	10.054342189882712					14.514609198339803										
100176	Papillibacter cinnamivorans	Papillibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	72.92915783462807	22.94824893129877	18.60571744530317	19.000051375945183	40.38069523489733	61.663236193124426	18.47629145226794	72.23339575570861	27.660146689296173	22.13169983672608	28.444956989348505	90.1931076598424	55.39313043732832	129.8120049342657	18.23522787940853	32.14614470634638
1042156	Clostridium sp. SY8519	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	1265.9536389291395	455.17996643093215	291.7514346463631	302.19099765901285	81.25101581148022	79.10366878705861	216.46035780727135	55.479494075431816	259.7523526514772	465.707566638147	571.2574070228696	172.32401244498914	640.9094399402582	68.75342617119571	431.3678394451782	144.5578991597082
106588	Pseudoflavonifractor capillosus	Pseudoflavonifractor	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	89.5657838185973	46.36841309847938	22.57210027622004	12.701569768332812	15.390762175012831	36.095186377545005	20.135186803449237	21.17190497334414	31.669453376943117	45.153125157442126	41.07686798973572	44.73263110455517	112.1308643724047	40.20975880321664	128.49757425322483	17.829558667170044
109790	Lactobacillus jensenii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria			120.60232399900944		115.50725655383366		91.90796003540376	97.33587849564152	17.57576487057666	181.3165770783865	83.82404510758093	99.12620540864695	137.24253445925348	103.62766757263245	52.527795764428696	148.00548674268657
1099853	Coprobacter fastidiosus	Coprobacter	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria							22.49706127800686		13.386317665416282							15.054056816703218
1109412	Brenneria goodwinii	Brenneria	Pectobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria													20.082086329741568			
114528	Mogibacterium neglectum	Mogibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria	20.221981389016115										18.259278512957607					
1150298	Fusicatenibacter saccharivorans	Fusicatenibacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria							12.000326133328231				15.522501110298604					
115544	Parasporobacterium paucivorans	Parasporobacterium	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	88.45168059097777	30.53793189642998		67.32848065968413	26.80497818989047	121.76768383747348		42.59942560118331	19.98392178932745				21.18545873071339			
