tax_id	species	genus	family	order	class	phylum	superkingdom	F046_concat_SUP_FilteredReads	F047_concat_SUP_FilteredReads	F048_concat_SUP_FilteredReads	F049_concat_SUP_FilteredReads	F050_concat_SUP_FilteredReads	F051_concat_SUP_FilteredReads	F052_concat_SUP_FilteredReads	F053_concat_SUP_FilteredReads	F054_concat_SUP_FilteredReads	F055_concat_SUP_FilteredReads	F056_concat_SUP_FilteredReads	F057_concat_SUP_FilteredReads	F058_concat_SUP_FilteredReads	F059_concat_SUP_FilteredReads	F060_concat_SUP_FilteredReads	F061_concat_SUP_FilteredReads	F062_concat_SUP_FilteredReads	F063_concat_SUP_FilteredReads
100134	Anaerocolumna xylanovorans	Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	32.27299488963669						36.086679476416144	20.62155400484216						22.3349090744636		41.90354051167828	23.010479374186826	20.644255600549084
100176	Papillibacter cinnamivorans	Papillibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	488.48015340776817	76.54048514817293	36.17332468421544	85.5961207916647		102.35820898317472	223.92340549426805	91.09977738497253	282.013230427572	407.350452667363	88.87587341475174	235.03611016682564	74.0367444065819	91.22552261887016	139.08443720164755	22.37210347555698	172.325181626937	445.8091041502648
1041504	Candidatus Arthromitus sp. SFB-rat-Yit	Candidatus Arthromitus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	10.030000097720189			1177.912441217606														
1042156	Clostridium sp. SY8519	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	669.3840251175653	482.25076414785246	2430.056394352441	487.4976975678496	22.644850285121745	103.4301886294258	788.7000776113547	1303.2029643697197	1617.0254939639967	1681.3240423609975	402.9947714454806	288.25285319780426	1249.8686842358445	578.182732435353	411.67520551785	4103.752506751914	637.3297260602993	156.99212271932487
1054297	Clostridium punense	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria																		44.56874466788904
1056810	Prolinoborus fasciculus	Prolinoborus	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria													10.826891618427684					
106588	Pseudoflavonifractor capillosus	Pseudoflavonifractor	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	44.934278822935376		41.88804835938448	61.54860301668422		29.62409622512876	109.57245588484504	62.66473866842476	114.5815818140728	157.97300608958483	56.25884019260212	131.3734318293689	168.69072471637188	52.79508927221391	31.895140369729383	108.43138746029578	68.56107400864782	182.69424002569096
1076412	Pelosinus defluvii	Pelosinus	Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria							11.484444622318588											
1085	Rhodospirillum rubrum	Rhodospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria															34.0863249624147			
109327	Anaerovorax odorimutans	Anaerovorax	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria				19.687854607289548			24.612213946510263			28.363129761906777						20.077066693680663		61.876936479896926
109790	Lactobacillus jensenii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	46.36478200869285		30.218527194191108	250.1933412017557					287.73377599172494	181.8862355773537	44.99917978796407	335.593545921132	559.4510910319902	104.52859192861013			254.7794004431653	547.8595750676363
1099853	Coprobacter fastidiosus	Coprobacter	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria				17.22827843737513							44.44224939997826	65.41679680161762						
1121298	Clostridium amylolyticum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria																		26.127554036393445
1121358	Corynebacterium doosanense	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria											13.026518660248332							
112901	Sporomusa malonica	Sporomusa	Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria									16.65271784443237									
114527	Mogibacterium diversum	Mogibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria								13.050196008726434										
114528	Mogibacterium neglectum	Mogibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria	34.465438961084786							25.148558950109106										23.518608253380883
1150298	Fusicatenibacter saccharivorans	Fusicatenibacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria				12.941516781513306	23.463301292786763								21.500956305628943			13.271812677646707		
115544	Parasporobacterium paucivorans	Parasporobacterium	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	28.553325795008305	45.70147280855719	62.75029478763594	19.70946504249787			41.35704530303428	247.87332446952595	94.24815642488014		37.44223721376116	41.776448376204414	40.97384786422143	15.66740297005513	34.74616359423873	71.21124879247294	13.073349838808468	16.901847420561264
1155739	Moorea producens	Moorea	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria									19.211777273097358		25.365686764932395							
1160	Planktothrix agardhii	Planktothrix	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria	20.82960404461911																	
1160721	Ruminococcus bicirculans	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	625.6596912121262	34.369401885847104		340.0879831064362		11.574475372808068	523.4485417251071	563.4200503402271	479.460523836734	336.7434452290512	310.3345392045143	138.37372524364667	17.90851886067835	125.50929207733684	338.8953710140062	14.081229976982282	1083.6795479050743	620.6482584170751
116089	Lactobacillus psittaci	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria													21.314853820274426					13.00145920248036
1161942	Ruminococcus champanellensis	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	11642.341225373655	2272.3127038798048	1208.8728423515563	9315.569186402676	63.037994307751546	2370.295242047549	15528.882491215338	25487.83839390724	11234.67118322562	3623.258699673968	11232.085502821556	437.4945406062973	147.52318595733405	11701.937277753725	6017.359150847914	1017.9628205364248	35278.8927050603	6393.120637099274
1162980	Cohaesibacter haloalkalitolerans	Cohaesibacter	Cohaesibacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria															41.4403932997358			
1165	Anabaena cylindrica	Anabaena	Nostocaceae	Nostocales		Cyanobacteria	Bacteria						17.04175983237363												
1172626	Altererythrobacter estronivorus	Altererythrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria										19.196276582970803								
