tax_id	species	genus	family	order	class	phylum	superkingdom	F101_concat_SUP_FilteredReads	F103_concat_SUP_FilteredReads	F105_concat_SUP_FilteredReads	F107_concat_SUP_FilteredReads	F109_concat_SUP_FilteredReads	F113_concat_SUP_FilteredReads	F115_concat_SUP_FilteredReads	F100_concat_SUP_FilteredReads	F102_concat_SUP_FilteredReads	F106_concat_SUP_FilteredReads	F108_concat_SUP_FilteredReads	F110_concat_SUP_FilteredReads	F112_concat_SUP_FilteredReads	F114_concat_SUP_FilteredReads	F116_concat_SUP_FilteredReads	F117_concat_SUP_FilteredReads	F119_concat_SUP_FilteredReads	F120_concat_SUP_FilteredReads	F122_concat_SUP_FilteredReads	F124_concat_SUP_FilteredReads	F126_concat_SUP_FilteredReads	F128_concat_SUP_FilteredReads	F121_concat_SUP_FilteredReads	F123_concat_SUP_FilteredReads	F125_concat_SUP_FilteredReads	F127_concat_SUP_FilteredReads	F129_concat_SUP_FilteredReads	F131_concat_SUP_FilteredReads	F130_concat_SUP_FilteredReads	F132_concat_SUP_FilteredReads	F134_concat_SUP_FilteredReads
100134	Anaerocolumna xylanovorans	Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria								20.51739947999579		76.45138530546176																					
100176	Papillibacter cinnamivorans	Papillibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	47.743276806303655	36.24347914509482	28.550907074094376	197.3909745246115	49.72524676296537	91.23980243784683	14.536513847624631		53.291517902525015	64.1823490963447	25.46977041944547	21.10996572157393		14.50872868828335	59.972252379835695		62.47973555310048	63.70433487181656	62.87019413714134		60.980088314101984		26.064370052493597	15.591065075264998	315.43783954539833	193.7919594309984	23.028577194232625	298.93949690055814		14.355936901645318	30.875027873278764
102117	Oscillatoria sancta	Oscillatoria	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria										35.051541328606056																					
1033740	Kurthia senegalensis	Kurthia	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria																			13.32984959647289												
1041504	Candidatus Arthromitus sp. SFB-rat-Yit	Candidatus Arthromitus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria							14.045432170789956																					573.9667964408064			
1042156	Clostridium sp. SY8519	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	1554.7982789862128	4046.586441406464	262.1543752806583	2004.46603718918	1090.710797858878	1495.1957614655412	1169.31786330899	986.7807030648122	726.8761083131727	2508.0099209913983	1329.0787942974198	94.90141614351582	279.85966690331094	2572.491751620281	266.0868620938537	806.953471186505	335.9323948292995	493.74830162424433	194.76343764630656	21.535099178363893	1713.8563507409438		284.5639775773766	170.10054594568334	810.0311306288316	877.9323395534379	746.6716163783136	1655.4810220660274	131.38487955552134	180.09671582737673	101.17245437775568
106588	Pseudoflavonifractor capillosus	Pseudoflavonifractor	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	36.32391347507401	79.61717774717322	30.53511012280908	53.75048640938374	66.77779813560097	22.83623707765636	11.766452942169073	125.0689899719508		47.710905882832336	75.04003061518576	28.15038519544552	18.146633576749064					29.932785439273577	32.74724793642156					42.855472441568445	54.55006721173698	26.744389253328773	14.954414167476616	36.19161388090716		15.06121585376761	22.203582316869635
106649	Acinetobacter guillouiae	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria																			53.09879204013426					2770.653870506528							
1076550	Pantoea rwandensis	Pantoea	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria																		10.582225829659013													
109327	Anaerovorax odorimutans	Anaerovorax	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria				23.23760688445759															12.10273368388684						15.956742563290495			11.38977458686397			
109790	Lactobacillus jensenii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria		44.082863056143054			126.27517571933414	97.34324768785878	73.26972911388388	58.686592110957314	83.07693350749925		15.464129305975362	114.92487847881716	74.00099760559716	87.12617523576183	76.36457371955139		143.46267794149287	207.83017491510225		80.93289885983954	113.62737297422474	140.0207748960593	219.8233888130424	75.09358624959278	92.89932135881386	53.43282873674903	54.458449877244846	39.48060439745324	156.42180695914237	170.49308292001697	117.75897759442452
