tax_id	species	genus	family	order	class	phylum	superkingdom	F153_concat_SUP_FilteredReads	F155_concat_SUP_FilteredReads	F157_concat_SUP_FilteredReads	F159_concat_SUP_FilteredReads	F161_concat_SUP_FilteredReads	F151_concat_SUP_FilteredReads	F149_concat_SUP_FilteredReads	F147_concat_SUP_FilteredReads	F145_concat_SUP_FilteredReads	F143_concat_SUP_FilteredReads	F141_concat_SUP_FilteredReads	F137_concat_SUP_FilteredReads	F136_concat_SUP_FilteredReads	F138_concat_SUP_FilteredReads	F140_concat_SUP_FilteredReads	F142_concat_SUP_FilteredReads	F144_concat_SUP_FilteredReads	F146_concat_SUP_FilteredReads	F148_concat_SUP_FilteredReads	F150_concat_SUP_FilteredReads	F152_concat_SUP_FilteredReads	F154_concat_SUP_FilteredReads	F156_concat_SUP_FilteredReads	F158_concat_SUP_FilteredReads	F160_concat_SUP_FilteredReads	F162_concat_SUP_FilteredReads	F164_concat_SUP_FilteredReads	F166_concat_SUP_FilteredReads	F168_concat_SUP_FilteredReads	F170_concat_SUP_FilteredReads	F139_concat_SUP_FilteredReads	F135_concat_SUP_FilteredReads	F165_concat_SUP_FilteredReads	F167_concat_SUP_FilteredReads	F171_concat_SUP_FilteredReads	F169_concat_SUP_FilteredReads	F172_concat_SUP_FilteredReads	F173_concat_SUP_FilteredReads	F174_concat_SUP_FilteredReads	F118_concat_SUP_FilteredReads
100134	Anaerocolumna xylanovorans	Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria													37.24973791789439					17.031955390492314				15.824135389822228				19.72231937171949														81.51037961306486
100176	Papillibacter cinnamivorans	Papillibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	78.40762470875504		153.3225597828372	94.83614466351676		27.305049382416698	34.205357889562926	94.7741758664963	177.33473313971692	175.59013742245114	163.09095262819258	81.6434355489542	74.5010205164019	33.53752929734549	46.939838678498354	73.38480243569805	64.53849305318515	151.008981221946	84.7637392429591	131.9519674027187		92.17481654611834	122.1155180481672	140.49466041082894	45.63432905699522	235.0880154319017	117.1243963913104	51.4761284840313	18.83221911892057		62.47422023878576	29.313992881231854	985.7803242684	21.96882400405268		58.05976299883462	70.30228051409003	116.34248933219094	29.49246643224524	113.7569057966968
1002870	Gaiella occulta	Gaiella	Gaiellaceae	Gaiellales	Rubrobacteria	Actinobacteria	Bacteria								14.067229357055387																																
1004261	Oceanobacillus indicireducens	Oceanobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																									10.043455338456376															
1033736	Brevibacterium senegalense	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria																									49.21293115843625															
1033739	Kurthia massiliensis	Kurthia	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria												93.92342186451287																												
1038856	Planococcus plakortidis	Planococcus	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria							230.60613134559824																	31.64203395591023																
1041504	Candidatus Arthromitus sp. SFB-rat-Yit	Candidatus Arthromitus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	39.04547936067252	709.1872937224092					202.27121842341316									75.21486158582722	902.4221603137718	169.29049110179835	153.30254637124753	63.09126224685082				154.784933749957		406.795581879302		151.22207560441095	3708.8903824241406		682.7500297018078									
1042156	Clostridium sp. SY8519	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	80.89333189774311	112.48396389955332	674.0562098124315	345.3053237147282	454.0032593870058	929.3535569032214	80.35169852362702	842.192254023149	1205.747803001855	983.0487099493206	1838.0874531758136	442.92353986112505	3437.9578945149738	912.0922010285974	1377.164068902106	410.591431909279	211.20263426005909	417.3757834046039	246.8648948768545	1450.5825665868044	251.71535793523887	386.4112572835045	285.89862234354604	322.11974594541323	989.4599924088412	2530.668835932824	886.9745734271125	1061.510850529671	136.74828167468496	44.60395256508952	208.15452211871192	140.0622180039955	1421.3812538249024	175.74664165168244	52.80516337470862	678.7564679733192	320.3649465955416	164.46964643968934	145.6217090829136	1174.4572706353172
1056810	Prolinoborus fasciculus	Prolinoborus	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria								19.22017800063005																																
