taxID,species
470,Acinetobacter baumannii
106654,Acinetobacter nosocomialis
715,Actinobacillus pleuropneumoniae
644,Aeromonas hydrophila
5059,Aspergillus flavus
746128,Aspergillus fumigatus
162425,Aspergillus nidulans
728,Avibacterium paragallinarum
1392,Bacillus anthracis
1396,Bacillus cereus
5039,Blastomyces dermatitidis
518,Bordetella bronchiseptica
520,Bordetella pertussis
139,Borrelia burgdorferi
140,Borrelia hermsii
235,Brucella abortus
29459,Brucella melitensis
29461,Brucella suis 
95486,Burkholderia cenocepacia
292,Burkholderia cepacia
488447,Burkholderia contaminans
337,Burkholderia glumae
13373,Burkholderia mallei
28450,Burkholderia pseudomallei
57975,Burkholderia thailandensis
197,Campylobacter jejuni
5476,Candida albicans
42374,Candida dubliniensis
5478,Candida glabrata
5480,Candida parapsilosis
5482,Candida tropicalis
83560,Chlamydia muridarum
83558,Chlamydia pneumoniae
813,Chlamydia trachomatis
67825,Citrobacter rodentium
36911,Clavispora lusitaniae
1496,Clostridioides difficile
1502,Clostridium perfringens
5501,Coccidioides immitis 
199306,Coccidioides posadasii
1717,Corynebacterium diphtheriae
777,Coxiella burnetii
413502,Cronobacter turicensis
535744,Cronobacter universalis
552467,Cryptococcus gattii
5207,Cryptococcus neoformans
5503,Curvularia lunata
67780,Edwardsiella ictaluri
636,Edwardsiella tarda
5970,Exophiala dermatitidis
96345,Flavobacterium psychrophilum 
263,Francisella tularensis
738,Glaesserella parasuis
730,Haemophilus ducreyi
727,Haemophilus influenzae
210,Helicobacter pylori
5037,Histoplasma capsulatum
504,Kingella kingae
573,Klebsiella pneumoniae
446,Legionella pneumophila
5671,Leishmania infantum
5664,Leishmania major
5665,Leishmania mexicana
173,Leptospira interrogans
1639,Listeria monocytogenes
36809,Mycobacterium abscessus
1764,Mycobacterium avium
1781,Mycobacterium marinum
1772,Mycobacterium smegmatis
1773,Mycobacterium tuberculosis
2110,Mycoplasma agalactiae
2096,Mycoplasma gallisepticum
485,Neisseria gonorrhoeae
487,Neisseria meningitidis
1464,Paenibacillus larvae
121759,Paracoccidioides brasiliensis
38293,Photobacterium damselae
5821,Plasmodium berghei
5833,Plasmodium falciparum
837,Porphyromonas gingivalis
584,Proteus mirabilis
287,Pseudomonas aeruginosa
34085,Riemerella anatipestifer
28901,Salmonella enterica
615,Serratia marcescens
623,Shigella flexneri
1280,Staphylococcus aureus
1282,Staphylococcus epidermidis
28035,Staphylococcus lugdunensis
40324,Stenotrophomonas maltophilia
1311,Streptococcus agalactiae
1336,Streptococcus equi
1346,Streptococcus iniae
1348,Streptococcus parauberis
1313,Streptococcus pneumoniae
1314,Streptococcus pyogenes
1307,Streptococcus suis
1349,Streptococcus uberis  
5811,Toxoplasma gondii
158,Treponema denticola
523103,Trichophyton mentagrophytes
5551,Trichophyton rubrum
5691,Trypanosoma brucei
5693,Trypanosoma cruzi
28171,Vibrio aestuarianus
55601,Vibrio anguillarum
680,Vibrio campbellii
666,Vibrio cholerae
669,Vibrio harveyi
670,Vibrio parahaemolyticus
212663,Vibrio tasmaniensis
672,Vibrio vulnificus
630,Yersinia enterocolitica
632,Yersinia pestis
633,Yersinia pseudotuberculosis
29486,Yersinia ruckeri
