n_reads n_bp n50 longest_read shortest_read mean_read_length median_read_length mean_quality median_quality FDNA 
235588 371922798 1590 1800 1200 1578 1589 13.0 13.3 F002
299796 476613712 1593 1800 1200 1589 1592 13.1 13.4 F004
315626 501690212 1594 1800 1200 1589 1593 13.1 13.3 F005
292779 468811570 1617 1800 1200 1601 1616 13.1 13.4 F006
215296 347028048 1622 1800 1200 1611 1622 13.1 13.4 F010
273985 433530319 1586 1800 1200 1582 1586 13.1 13.3 F011
340463 537160940 1589 1800 1200 1577 1588 13.0 13.2 F012
437752 692982992 1592 1800 1200 1583 1592 13.0 13.3 F013
261196 413297067 1587 1800 1200 1582 1587 13.1 13.3 F016
335736 531846560 1591 1800 1200 1584 1590 13.1 13.3 F017
256578 411329203 1613 1800 1200 1603 1612 13.2 13.4 F018
309158 491372733 1595 1800 1200 1589 1594 13.1 13.4 F019
264135 423261588 1614 1800 1200 1602 1613 13.1 13.4 F020
247826 396484229 1613 1800 1200 1599 1613 13.1 13.4 F021
267765 426004621 1598 1800 1200 1590 1598 13.1 13.4 F022
240441 382708399 1603 1800 1200 1591 1602 13.1 13.4 F023
211254 333291731 1585 1800 1200 1577 1584 13.0 13.3 F024
236198 374289722 1593 1800 1200 1584 1592 13.1 13.3 F025
153133 244116208 1609 1800 1200 1594 1607 13.1 13.4 F026
112712 179423456 1605 1799 1200 1591 1604 13.1 13.4 F027
260745 417434731 1616 1800 1200 1600 1615 13.1 13.4 F028
235434 376342687 1603 1800 1200 1598 1603 13.2 13.4 F029
226477 364998971 1619 1800 1200 1611 1618 13.2 13.4 F030
217399 348640239 1612 1800 1200 1603 1612 13.2 13.4 F031
209220 333394673 1599 1799 1200 1593 1598 13.1 13.4 F032
227309 363880819 1609 1800 1200 1600 1608 13.1 13.4 F033
278418 444995681 1604 1800 1200 1598 1603 13.2 13.5 F034
259555 413614351 1603 1800 1200 1593 1602 13.2 13.4 F035
265362 425027679 1609 1800 1200 1601 1608 13.1 13.4 F036
287844 457406239 1593 1800 1200 1589 1592 13.1 13.4 F037
272091 437066365 1614 1800 1200 1606 1614 13.2 13.5 F038
368256 589826805 1609 1800 1200 1601 1608 13.2 13.4 F039
272977 434643430 1598 1799 1200 1592 1597 13.2 13.4 F040
324409 518816937 1604 1800 1200 1599 1603 13.2 13.4 F041
298003 474384469 1595 1800 1200 1591 1594 13.2 13.4 F042
243045 387829393 1599 1800 1200 1595 1598 13.2 13.4 F043
404018 643983299 1603 1800 1200 1593 1602 13.1 13.4 F044
390319 621293936 1600 1800 1200 1591 1600 13.2 13.4 F045
205281 323852446 1590 1800 1200 1577 1589 12.8 13.0 F046
203336 326128625 1618 1800 1200 1603 1617 12.9 13.1 F047
234452 375837177 1616 1800 1200 1603 1615 12.9 13.1 F048
214340 340709956 1596 1800 1200 1589 1595 12.8 13.0 F049
176454 284218598 1621 1800 1200 1610 1620 12.9 13.1 F050
183412 293997206 1617 1800 1200 1602 1616 12.8 13.1 F051
219618 347327905 1587 1800 1200 1581 1587 12.8 13.0 F052
215718 340885998 1586 1800 1200 1580 1586 12.8 13.0 F053
204391 323781540 1590 1800 1200 1584 1589 12.8 13.0 F054
225172 357420389 1593 1800 1200 1587 1592 12.8 13.0 F055
197964 313291212 1594 1800 1200 1582 1593 12.8 13.0 F056
196152 313151026 1611 1800 1200 1596 1610 12.8 13.0 F057
221721 353352592 1609 1800 1200 1593 1608 12.8 13.0 F058
222252 352549459 1600 1800 1200 1586 1598 12.8 13.0 F059
230606 369535023 1615 1800 1200 1602 1614 12.8 13.0 F060
273027 431129448 1588 1800 1200 1579 1587 12.8 13.0 F061
228568 361057387 1590 1800 1200 1579 1589 12.8 13.0 F062
225655 357258934 1593 1800 1200 1583 1592 12.8 13.0 F063
337799 537003593 1595 1800 1200 1589 1594 13.1 13.3 F064
326732 520524931 1597 1800 1200 1593 1596 13.1 13.4 F065
379744 606045487 1599 1800 1200 1595 1599 13.1 13.4 F066
368666 593298183 1620 1800 1200 1609 1619 13.2 13.4 F067
334087 528668574 1586 1800 1200 1582 1585 13.1 13.4 F068
428223 678925260 1588 1800 1200 1585 1587 13.1 13.3 F069
290248 464481049 1614 1800 1200 1600 1614 13.1 13.4 F070
326983 517505207 1589 1800 1200 1582 1589 13.1 13.3 F071
240592 383308763 1596 1800 1200 1593 1595 12.9 13.1 F074
91843 145151435 1591 1800 1200 1580 1591 12.4 12.5 F075
268638 429257217 1607 1800 1200 1597 1607 12.9 13.1 F076
78634 124777921 1601 1800 1200 1586 1600 12.4 12.5 F077
78777 124019615 1587 1799 1200 1574 1586 12.4 12.5 F078
103047 164006927 1605 1800 1200 1591 1604 12.4 12.5 F079
102956 164090212 1604 1800 1200 1593 1603 12.4 12.6 F080
234933 374914564 1611 1800 1200 1595 1610 12.8 13.1 F081
234448 371970481 1597 1800 1200 1586 1596 12.8 13.0 F083
89267 142105102 1606 1800 1200 1591 1605 12.4 12.5 F084
77950 124199502 1607 1800 1200 1593 1607 12.4 12.6 F085
88863 139790823 1584 1800 1200 1573 1583 12.4 12.5 F086
94547 151195173 1614 1799 1200 1599 1614 12.4 12.6 F087
84088 133866804 1608 1800 1200 1591 1607 12.4 12.6 F088
109568 174578632 1612 1800 1200 1593 1612 12.4 12.5 F089
74513 118293160 1601 1799 1200 1587 1600 12.4 12.6 F090
109028 173032590 1601 1800 1200 1587 1600 12.4 12.5 F091
88320 139957079 1595 1800 1200 1584 1594 12.4 12.5 F092
75860 119690339 1589 1799 1200 1577 1589 12.4 12.5 F093
79084 124786913 1586 1800 1200 1577 1585 12.4 12.5 F094
85343 136009536 1604 1800 1200 1593 1603 12.4 12.6 F095
83437 132338608 1600 1800 1200 1586 1599 12.4 12.6 F096
94196 149710273 1600 1800 1200 1589 1599 12.4 12.5 F097
155578 248417028 1605 1800 1200 1596 1604 12.3 12.4 F100
147539 235989069 1609 1800 1200 1599 1609 12.3 12.4 F101
145068 233172672 1617 1799 1200 1607 1617 12.3 12.4 F102
149147 238563180 1607 1800 1200 1599 1606 12.3 12.4 F103
144247 230103168 1606 1800 1200 1595 1605 12.3 12.4 F105
164268 260026109 1590 1800 1200 1582 1589 12.3 12.3 F106
144243 228854688 1591 1800 1200 1586 1590 12.3 12.3 F107
151511 241690643 1600 1800 1200 1595 1599 12.3 12.3 F108
127226 204303749 1616 1800 1200 1605 1616 12.3 12.4 F109
109726 175961615 1616 1800 1200 1603 1615 12.3 12.4 F110
123641 198552282 1617 1800 1200 1605 1616 12.3 12.4 F112
132696 212331031 1609 1800 1200 1600 1609 12.3 12.4 F113
137502 219934880 1608 1800 1200 1599 1607 12.3 12.4 F114
110058 175993729 1612 1799 1200 1599 1611 12.3 12.4 F115
112761 180912159 1617 1799 1200 1604 1617 12.3 12.4 F116
111584 177775001 1607 1800 1200 1593 1607 12.3 12.3 F117
220756 347524870 1595 1800 1200 1574 1593 12.8 13.0 F118
114356 183063747 1617 1800 1200 1600 1616 12.3 12.4 F119
143960 229484004 1605 1799 1200 1594 1605 12.3 12.4 F120
148985 239556694 1620 1800 1200 1607 1620 12.8 13.0 F121
137595 218796226 1601 1800 1200 1590 1600 12.3 12.3 F122
161469 259096542 1613 1800 1200 1604 1613 12.8 13.0 F123
108705 173790371 1615 1799 1200 1598 1615 12.3 12.4 F124
165253 264524468 1609 1800 1200 1600 1608 12.8 13.0 F125
171761 275476473 1613 1800 1200 1603 1612 12.8 13.0 F126
192174 306303094 1598 1800 1200 1593 1597 12.8 13.0 F127
98638 158048909 1616 1800 1200 1602 1615 12.3 12.4 F128
125675 202019648 1617 1800 1200 1607 1617 12.8 13.0 F129
135748 218058678 1618 1800 1200 1606 1618 12.3 12.4 F130
175729 278749654 1590 1800 1200 1586 1590 12.7 12.9 F131
126279 201391917 1611 1800 1200 1594 1610 12.3 12.4 F132
151129 243171634 1620 1800 1200 1609 1620 12.8 13.0 F134
192956 310730942 1624 1800 1200 1610 1623 13.0 13.3 F135
188636 299208389 1595 1800 1200 1586 1594 12.9 13.2 F136
190568 304052279 1606 1800 1200 1595 1605 12.9 13.2 F137
209210 333829215 1599 1800 1200 1595 1599 13.0 13.3 F138
286745 456702279 1603 1800 1200 1592 1602 13.0 13.2 F139
230312 367220831 1602 1800 1200 1594 1601 13.0 13.2 F140
235729 372030063 1586 1800 1200 1578 1586 12.9 13.1 F141
192184 306148951 1596 1799 1200 1592 1596 12.7 12.9 F142
215750 344586059 1610 1800 1200 1597 1609 13.0 13.2 F143
